id_rendez_vous,delai_reservation_jours,score_fiabilite_client,moyenne_notes_client,anciennete_compte_jours,nombre_total_rdv_client,score_distance_geo,cible_paiement
a519495f-75ec-4737-8970-97f2ddd991a4,1,81.08,4.00,1159,37,4.04140840,1
78d32906-6e2b-49b0-81ab-b222f79aa138,5,81.08,4.00,1159,37,1.98611010,1
f505e11e-ed86-4c2e-b042-d32eb12e7b8f,7,81.58,4.33,1132,38,4.89758520,1
6405b4bd-9d55-4877-8aef-3b792a00a2ee,6,71.88,3.69,126,32,1.99946800,1
efeda655-7e7c-43f1-b056-b28676bc0b4f,7,85.19,3.79,447,27,1.07204640,1
82b2f3ef-8f6f-48a5-8ef9-19118d5d355a,28,78.95,3.77,218,38,2.74882950,0
dbc19ab0-68a9-49bd-bb4e-101c29294211,12,77.78,4.08,195,27,3.26253020,0
07690296-4d5c-41b0-9d00-08ba4e97160c,29,85.71,4.14,1126,35,0.54689160,0
058aef07-626e-4c45-a2a6-1df2454314d6,15,81.08,4.00,1159,37,0.50825160,1
062819f2-e063-45d9-a4bf-b44279ec1178,8,82.05,4.04,774,39,1.35842710,1
d1bd2fd1-8b49-437a-bfcf-d68f28671fe8,11,90.32,4.05,639,31,0.00000000,1
8624aa73-74ef-458e-9cb8-eaa3eb1b375e,11,90.32,4.05,639,31,null,0
30509c3e-59e4-4fb3-a0e7-113c24716fef,13,79.55,4.19,294,44,1.14585960,0
21d32dfe-555b-485b-be80-e16d15d10a95,16,77.14,4.33,1026,35,1.98611010,0
2bbb2317-f069-40a2-b6b2-abd3a3b89f89,14,72.73,4.50,634,22,1.91209850,1
ae3afcb0-3982-451c-bf87-7aaf4a3bdfac,17,85.19,3.94,207,27,2.74882950,0
551ed295-34aa-4b48-96fe-db7e7ab97079,9,79.07,3.76,969,43,2.57237650,1
1181959c-aa46-47ef-83e7-8d09ef18a7dc,22,74.36,4.11,706,39,3.66400140,0
c78e6129-e6ef-4359-828b-17e74b7193e6,26,77.78,3.90,966,18,3.84648020,1
62a27e0e-db75-4683-b49b-b3ba3b825f0e,2,65.63,3.67,1042,32,2.46402380,1
1e7992ea-0540-4340-b3d4-36285880853d,9,68.97,3.73,395,29,3.36506130,0
4a762ae1-af00-4c45-925e-5f4b552715ba,10,78.26,4.00,194,23,2.56480650,1
39cb28f2-f353-40bd-8d94-90df941af1ed,10,71.43,4.15,843,35,0.49450360,1
8c83d026-7b80-486d-9998-eb0d6f75e0de,3,86.96,3.92,60,23,5.14580220,1
53a1ee9a-e8b7-4d9d-a57a-61cbcdac9c68,11,80.00,3.50,1076,25,2.74882950,1
a5011502-0a9f-4f28-a809-501d35c8c21e,3,82.05,4.04,774,39,1.59135640,1
9b42dd06-ba8e-4cb6-8fd2-bbe76b8aec7b,5,81.08,4.00,1159,37,3.14144900,1
ba3337c1-fa55-43df-bc64-18f8fa91a3db,5,77.14,3.68,289,35,null,1
f169cf47-d077-49ba-9174-03aa4694e229,23,85.19,3.79,447,27,1.37578750,0
510d0040-d469-4b88-9cb3-603b91f36393,18,79.07,3.76,969,43,3.43887450,0
0b210b01-c207-4752-a645-5ba6494943ce,14,74.07,3.73,434,27,1.85068300,1
2dc693ca-0234-4a87-8eb8-caaf0b360324,2,68.97,3.73,395,29,3.38923180,0
01e533c4-fe0b-4bb5-afab-d361a965ce59,13,79.55,4.08,1062,44,3.96268740,0
180082eb-ad20-41f2-934f-5839dbf645f3,24,79.55,4.19,294,44,5.12591720,0
5c7080aa-1684-4daf-9b1f-9421defdd7a0,25,68.42,4.09,335,38,2.75064240,0
75830bbf-62b6-4cc6-9aa5-8e783cf6fa8a,15,74.19,3.91,505,31,0.00000000,0
516efeb6-e460-4311-b7a5-8217511c9a84,14,70.97,4.13,620,31,1.90388090,0
a7fb7384-ae31-413e-989b-3d51608a848b,22,78.38,3.88,543,37,4.77976700,0
93a9dd82-deb7-4f50-82a4-27d864f1a09d,2,76.92,4.09,950,39,3.44479040,1
943ed486-08c5-4408-b6ed-b12531eb7407,1,81.58,4.33,1132,38,0.22833200,1
f12b6690-df42-4c77-a820-012a0f11cc73,19,76.92,4.09,950,39,2.30089420,1
d848642b-17b3-46eb-8150-b633275503c9,12,68.57,3.89,1127,35,2.85248280,1
58b0a73e-4883-452b-af0b-64fb276b4cd6,21,79.55,4.19,294,44,4.53509140,1
3ef3126d-a14f-4c44-af6b-12f5f661e9d6,7,74.36,4.11,706,39,3.99994260,1
3969ff17-40ca-4adb-8f2f-d6c4bf21b6b8,8,81.08,4.00,1159,37,3.35197660,1
0c3ab449-b662-486c-b0b9-200d53463ec4,11,74.19,4.06,79,31,1.21311900,1
cbf0870d-ceee-4412-9903-a116cd93a153,24,65.63,3.67,1042,32,2.48110560,0
eb767658-9703-46e5-b16f-631c50756f1e,18,72.41,3.84,907,29,3.59665220,0
c4142e13-f844-4df8-98c3-704734eb554a,15,74.19,3.91,505,31,1.56745300,0
78a6b11f-fb38-4edf-9227-940d21de8dd6,9,74.19,3.91,505,31,2.54483100,1
9f0803c5-22a3-4e79-b7d7-fe4a82e96849,20,68.42,4.09,335,38,2.75064240,1
3e64dc67-514d-46f2-9172-a8def5915c3e,2,77.78,4.08,195,27,1.85068300,1
7d450eeb-a97d-4868-a5d3-7a9410b5e709,2,78.79,4.15,837,33,1.73666450,1
8e93b66a-9f1f-4ac1-bb4e-aebcaf6d80bd,24,89.29,4.14,566,28,2.56480650,0
6a437e2b-cfe4-4f76-aad1-f441229ae91b,3,70.00,4.17,988,30,2.48110560,0
0177912a-363f-4ab5-9229-909c3c6cb805,29,70.83,4.17,330,24,2.18851460,1
9e21c903-8ae7-4801-982d-f37edebcbd9f,13,70.83,4.17,330,24,1.56745300,1
ea019f5a-1929-4120-9e97-e8a4a568c739,7,78.38,3.88,543,37,4.40838980,0
2eb1c1a1-621a-4c73-965f-98e76918d3e4,4,71.43,4.27,1070,21,1.20071720,1
9a57af5a-5fe3-42fa-9c00-9eb94e6d5396,22,65.63,4.31,293,32,2.61056110,0
4e803b91-f714-450a-8228-289deca3cc6c,19,84.85,4.00,81,33,0.42602240,0
2b6c2558-810f-44c2-9eb3-1cc05dda5306,2,77.14,3.68,289,35,3.61386580,0
14ea9992-8802-4d79-9673-07c353e81f17,23,61.54,4.10,983,26,1.55639400,1
23f72a6b-b66c-41f2-9bff-9e90dfb9fd3e,3,62.07,3.57,1191,29,2.59347930,1
377ad04b-1443-4a1b-be34-81420df55312,9,70.83,4.17,330,24,2.43319020,1
b5a30344-28d3-40e8-aa27-a65b565dc834,2,77.78,4.08,195,27,3.39198570,1
67c607e5-6c29-4e65-8947-4db42a18fc1a,26,83.33,3.87,329,30,null,0
293733ff-f239-4cf5-bd9c-3c9ae7a25928,1,89.29,4.14,566,28,1.20071720,1
cc6dfc8a-0b08-4722-8da4-a193e6e58f03,6,72.41,3.84,907,29,1.16346200,0
fea54d55-f991-447f-9c37-381f5901bf21,19,79.07,3.76,969,43,1.07204640,1
0594aee7-65ee-4fab-a9a7-fe44bb4a893b,26,79.55,4.08,1062,44,1.60870310,0
